"id","name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price"
73282,"Clean, central, quiet","Kreis 3","Sihlfeld",47.37374,8.51957,"Entire home/apt",100
143821,"marvelous LOFT in SIHLCITY Zürich","Kreis 3","Alt-Wiedikon",47.35724,8.52304,"Entire home/apt",200
178448,"a lovely place, top location","Kreis 2","Enge",47.36565,8.52753,"Private room",60
204586,"very nice luxury city apartment","Kreis 10","Höngg",47.40656,8.48465,"Private room",200
222565,"Bedroom overlooking the lake near","Kreis 2","Wollishofen",47.33463,8.54117,"Private room",75
227039,"*Luxury Penthouse in the heart of trendy Zurich*","Kreis 5","Escher Wyss",47.38942,8.51881,"Entire home/apt",650
251204,"Lovely apartment in the middle of trendy Wipkingen","Kreis 10","Wipkingen",47.39282,8.52685,"Entire home/apt",148
272841,"room with balcony, city centre","Kreis 5","Gewerbeschule",47.38326,8.52718,"Private room",72
283737,"Best Location in Zurich Oldtown","Kreis 1","Rathaus",47.37284,8.54324,"Entire home/apt",159
292351,"120 sqM - 3 bedrooms + lounge in central Zurich","Kreis 3","Sihlfeld",47.37896,8.50787,"Entire home/apt",210
310964,"Large Apartment - Center of Zurich","Kreis 1","Hochschulen",47.36802,8.54813,"Entire home/apt",360
551321,"Zürich Charming Business/Holiday","Kreis 3","Alt-Wiedikon",47.37008,8.51368,"Entire home/apt",115
577683,"Modern & Spacious Garden-Suite in Zurich","Kreis 10","Höngg",47.40419,8.49593,"Entire home/apt",280
606954,"Big and quiet bedroom in green area!","Kreis 3","Sihlfeld",47.36867,8.49841,"Private room",50
610348,"Duplex  Flat, 120 m2 7-8  persons","Kreis 11","Oerlikon",47.40703,8.55232,"Entire home/apt",220
620130,"NB1: Charming 2-room apartment","Kreis 10","Wipkingen",47.39232,8.52876,"Entire home/apt",185
644888,"Big and bright duplex in the heart of Zurich","Kreis 4","Hard",47.38003,8.50829,"Private room",74
652938,"Luxurious, in the heart of Zurich!","Kreis 4","Langstrasse",47.37408,8.53071,"Private room",131
706972,"NB2: good value 1-room apartment","Kreis 10","Wipkingen",47.39354,8.53019,"Entire home/apt",134
706997,"NB3: Beautiful 2-bedroom apartment","Kreis 10","Wipkingen",47.3937,8.52998,"Entire home/apt",165
743035,"Unique Home in the midst of Nature near Zuerich","Kreis 3","Friesenberg",47.35468,8.48535,"Entire home/apt",250
751660,"Entire flat in a trendy area","Kreis 3","Sihlfeld",47.37531,8.51494,"Entire home/apt",85
815055,"Quiet room in Zürich 5min to center","Kreis 2","Wollishofen",47.33715,8.53265,"Private room",49
898829,"Top modernes Gästezimmer in Zürich Seebach","Kreis 11","Seebach",47.42659,8.546569,"Private room",60
944102,"Guestroom & private bathroom","Kreis 12","Schwamendingen-Mitte",47.4013,8.56972,"Private room",75
1028631,"Architect's loft seen in magazines centre Zurich","Kreis 4","Langstrasse",47.37449,8.52116,"Entire home/apt",604
1051223,"Centrally located room in Zurich","Kreis 3","Sihlfeld",47.37744,8.50882,"Private room",57
1091173,"Sunny 130m2 flat in trendy Zurich","Kreis 5","Escher Wyss",47.389,8.52345,"Entire home/apt",249
1126401,"Family apartment in Zürich Kreis 5","Kreis 5","Gewerbeschule",47.38606,8.53119,"Entire home/apt",350
1137339,"Zurich - easy, central, convenient","Kreis 10","Höngg",47.40239,8.49519,"Private room",54
1179802,"Zurich-heart of the city, 2,5 rooms","Kreis 4","Langstrasse",47.37929,8.5352,"Entire home/apt",108
1283510,"Sonnige zweigeschossige Wohnung in Zürich-West","Kreis 5","Escher Wyss",47.39396,8.50829,"Entire home/apt",123
1296814,"Lovely Zurich Flat near the lake!","Kreis 8","Mühlebach",47.35725,8.55699,"Entire home/apt",153
1358424,"2.5 room (68m2) Rooftop Attic with lake view","Kreis 8","Mühlebach",47.36406,8.55057,"Entire home/apt",98
1446015,"Lovely Appartment in Zürich","Kreis 7","Hirslanden",47.36508,8.57226,"Entire home/apt",77
1473567,"Subletting apartment or room","Kreis 3","Friesenberg",47.3661,8.50282,"Entire home/apt",99
1478873,"Room in Duplex Apartment","Kreis 2","Enge",47.36063,8.53471,"Private room",170
1509338,"Private room, bright & quiet(1-3months possible)","Kreis 2","Wollishofen",47.33142,8.5374,"Private room",65
1528138,"Modern Appartement with own Garden","Kreis 6","Unterstrass",47.395,8.53442,"Entire home/apt",120
1556931,"Entire flat-Affordable&awesom views","Kreis 12","Hirzenbach",47.40245,8.58832,"Entire home/apt",225
1560875,"central apartment in Zürich","Kreis 7","Hottingen",47.3647,8.5552,"Entire home/apt",70
1566319,"Big terrace apartment close to Tiefenbrunen","Kreis 8","Weinegg",47.35242,8.57012,"Entire home/apt",300
1599790,"room in a penthouse in Zurich","Kreis 11","Oerlikon",47.40782,8.55461,"Private room",95
1637876,"Spacious room near center and university","Kreis 6","Oberstrass",47.38302,8.54983,"Private room",75
1638930,"Private room in center of Zurich","Kreis 5","Gewerbeschule",47.38435,8.53154,"Private room",90
1730300,"LOVELY HOME","Kreis 2","Enge",47.36538,8.52406,"Private room",55
1812239,"Room close to opera & lake","Kreis 8","Mühlebach",47.36463,8.54884,"Private room",89
1834747,"Bedroom with double bed available","Kreis 1","Lindenhof",47.37416,8.53903,"Private room",100
1859135,"Wohnung in bester Lage Zürich","Kreis 7","Fluntern",47.37969,8.55919,"Entire home/apt",94
1876794,"Modern sunny Appartment","Kreis 7","Hottingen",47.36724,8.55179,"Entire home/apt",99
1880893,"Sunny modern penthouse close to Bellevue/Lake","Kreis 7","Hottingen",47.3681,8.55116,"Entire home/apt",103
1888122,"Cozy Studio in Zürich-City!","Kreis 8","Mühlebach",47.36401,8.55047,"Entire home/apt",54
1942078,"Centrally located city apartment","Kreis 1","Lindenhof",47.37398,8.53975,"Entire home/apt",293
1962016,"A spacious space","Kreis 9","Albisrieden",47.38015,8.49808,"Private room",130
1982405,"studio / home office  in a trendy quarter","Kreis 10","Wipkingen",47.39408,8.53195,"Entire home/apt",80
1983843,"Wohnen im Seefeld","Kreis 8","Seefeld",47.35715,8.554,"Entire home/apt",100
2004128,"Super central & cozy (+ family-friendly)!","Kreis 4","Werd",47.37015,8.52678,"Entire home/apt",165
2019124,"New Modern Apartment, Great Area!","Kreis 5","Escher Wyss",47.3868,8.51292,"Entire home/apt",161
2021797,"Roomy well-lit Private room Heart of Zurich","Kreis 2","Enge",47.36288,8.52304,"Private room",65
2045519,"Groundfloor Room i/Family Home Hottingen, Kreis 7","Kreis 7","Hottingen",47.36644,8.56301,"Private room",54
2049847,"Balcony Room in FamilyHome Hottingen, Kreis 7","Kreis 7","Hottingen",47.36644,8.56301,"Private room",51
2055920,"Modern 5.5 Meter Celings City Center Flat!","Kreis 4","Langstrasse",47.38015,8.52768,"Entire home/apt",417
2073042,"Bedroom i/Family Home ZüriHottingen","Kreis 7","Hottingen",47.36589,8.56362,"Private room",51
2082084,"Basic Well-lit Private Room Heart of Zurich","Kreis 3","Alt-Wiedikon",47.36407,8.52113,"Private room",60
