"id","name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","MunicipalityBFSNr","FactsEnglish","OffencesTotal","Residents","BurglariesPerResident","avg.price"
73282,"Clean, central, quiet","Kreis 3","Sihlfeld",47.37374,8.51957,"Entire home/apt",100,261,"TotalCrime",304,48865,0.00622122173334698,1564
143821,"marvelous LOFT in SIHLCITY Zürich","Kreis 3","Alt-Wiedikon",47.35724,8.52304,"Entire home/apt",200,261,"TotalCrime",304,48865,0.00622122173334698,1564
178448,"a lovely place, top location","Kreis 2","Enge",47.36565,8.52753,"Private room",60,261,"TotalCrime",251,35494,0.00707161773820927,1803
204586,"very nice luxury city apartment","Kreis 10","Höngg",47.40656,8.48465,"Private room",200,261,"TotalCrime",180,39719,0.00453183614894635,1614
222565,"Bedroom overlooking the lake near","Kreis 2","Wollishofen",47.33463,8.54117,"Private room",75,261,"TotalCrime",251,35494,0.00707161773820927,1803
227039,"*Luxury Penthouse in the heart of trendy Zurich*","Kreis 5","Escher Wyss",47.38942,8.51881,"Entire home/apt",650,261,"TotalCrime",194,15331,0.012654099536886,1801
251204,"Lovely apartment in the middle of trendy Wipkingen","Kreis 10","Wipkingen",47.39282,8.52685,"Entire home/apt",148,261,"TotalCrime",180,39719,0.00453183614894635,1614
272841,"room with balcony, city centre","Kreis 5","Gewerbeschule",47.38326,8.52718,"Private room",72,261,"TotalCrime",194,15331,0.012654099536886,1801
283737,"Best Location in Zurich Oldtown","Kreis 1","Rathaus",47.37284,8.54324,"Entire home/apt",159,261,"TotalCrime",153,5411,0.0282757346146738,2317
292351,"120 sqM - 3 bedrooms + lounge in central Zurich","Kreis 3","Sihlfeld",47.37896,8.50787,"Entire home/apt",210,261,"TotalCrime",304,48865,0.00622122173334698,1564
310964,"Large Apartment - Center of Zurich","Kreis 1","Hochschulen",47.36802,8.54813,"Entire home/apt",360,261,"TotalCrime",153,5411,0.0282757346146738,2317
551321,"Zürich Charming Business/Holiday","Kreis 3","Alt-Wiedikon",47.37008,8.51368,"Entire home/apt",115,261,"TotalCrime",304,48865,0.00622122173334698,1564
577683,"Modern & Spacious Garden-Suite in Zurich","Kreis 10","Höngg",47.40419,8.49593,"Entire home/apt",280,261,"TotalCrime",180,39719,0.00453183614894635,1614
606954,"Big and quiet bedroom in green area!","Kreis 3","Sihlfeld",47.36867,8.49841,"Private room",50,261,"TotalCrime",304,48865,0.00622122173334698,1564
610348,"Duplex  Flat, 120 m2 7-8  persons","Kreis 11","Oerlikon",47.40703,8.55232,"Entire home/apt",220,261,"TotalCrime",400,73223,0.00546276443194078,1540
620130,"NB1: Charming 2-room apartment","Kreis 10","Wipkingen",47.39232,8.52876,"Entire home/apt",185,261,"TotalCrime",180,39719,0.00453183614894635,1614
644888,"Big and bright duplex in the heart of Zurich","Kreis 4","Hard",47.38003,8.50829,"Private room",74,261,"TotalCrime",303,27765,0.010913019989195,1656
652938,"Luxurious, in the heart of Zurich!","Kreis 4","Langstrasse",47.37408,8.53071,"Private room",131,261,"TotalCrime",303,27765,0.010913019989195,1656
706972,"NB2: good value 1-room apartment","Kreis 10","Wipkingen",47.39354,8.53019,"Entire home/apt",134,261,"TotalCrime",180,39719,0.00453183614894635,1614
706997,"NB3: Beautiful 2-bedroom apartment","Kreis 10","Wipkingen",47.3937,8.52998,"Entire home/apt",165,261,"TotalCrime",180,39719,0.00453183614894635,1614
743035,"Unique Home in the midst of Nature near Zuerich","Kreis 3","Friesenberg",47.35468,8.48535,"Entire home/apt",250,261,"TotalCrime",304,48865,0.00622122173334698,1564
751660,"Entire flat in a trendy area","Kreis 3","Sihlfeld",47.37531,8.51494,"Entire home/apt",85,261,"TotalCrime",304,48865,0.00622122173334698,1564
815055,"Quiet room in Zürich 5min to center","Kreis 2","Wollishofen",47.33715,8.53265,"Private room",49,261,"TotalCrime",251,35494,0.00707161773820927,1803
898829,"Top modernes Gästezimmer in Zürich Seebach","Kreis 11","Seebach",47.42659,8.546569,"Private room",60,261,"TotalCrime",400,73223,0.00546276443194078,1540
944102,"Guestroom & private bathroom","Kreis 12","Schwamendingen-Mitte",47.4013,8.56972,"Private room",75,261,"TotalCrime",114,31402,0.00363034201643207,1254
1028631,"Architect's loft seen in magazines centre Zurich","Kreis 4","Langstrasse",47.37449,8.52116,"Entire home/apt",604,261,"TotalCrime",303,27765,0.010913019989195,1656
1051223,"Centrally located room in Zurich","Kreis 3","Sihlfeld",47.37744,8.50882,"Private room",57,261,"TotalCrime",304,48865,0.00622122173334698,1564
1091173,"Sunny 130m2 flat in trendy Zurich","Kreis 5","Escher Wyss",47.389,8.52345,"Entire home/apt",249,261,"TotalCrime",194,15331,0.012654099536886,1801
1126401,"Family apartment in Zürich Kreis 5","Kreis 5","Gewerbeschule",47.38606,8.53119,"Entire home/apt",350,261,"TotalCrime",194,15331,0.012654099536886,1801
1137339,"Zurich - easy, central, convenient","Kreis 10","Höngg",47.40239,8.49519,"Private room",54,261,"TotalCrime",180,39719,0.00453183614894635,1614
1179802,"Zurich-heart of the city, 2,5 rooms","Kreis 4","Langstrasse",47.37929,8.5352,"Entire home/apt",108,261,"TotalCrime",303,27765,0.010913019989195,1656
1283510,"Sonnige zweigeschossige Wohnung in Zürich-West","Kreis 5","Escher Wyss",47.39396,8.50829,"Entire home/apt",123,261,"TotalCrime",194,15331,0.012654099536886,1801
1296814,"Lovely Zurich Flat near the lake!","Kreis 8","Mühlebach",47.35725,8.55699,"Entire home/apt",153,261,"TotalCrime",107,17152,0.00623833955223881,2237
1358424,"2.5 room (68m2) Rooftop Attic with lake view","Kreis 8","Mühlebach",47.36406,8.55057,"Entire home/apt",98,261,"TotalCrime",107,17152,0.00623833955223881,2237
1446015,"Lovely Appartment in Zürich","Kreis 7","Hirslanden",47.36508,8.57226,"Entire home/apt",77,261,"TotalCrime",184,37662,0.00488556104296107,1992
1473567,"Subletting apartment or room","Kreis 3","Friesenberg",47.3661,8.50282,"Entire home/apt",99,261,"TotalCrime",304,48865,0.00622122173334698,1564
1478873,"Room in Duplex Apartment","Kreis 2","Enge",47.36063,8.53471,"Private room",170,261,"TotalCrime",251,35494,0.00707161773820927,1803
1509338,"Private room, bright & quiet(1-3months possible)","Kreis 2","Wollishofen",47.33142,8.5374,"Private room",65,261,"TotalCrime",251,35494,0.00707161773820927,1803
1528138,"Modern Appartement with own Garden","Kreis 6","Unterstrass",47.395,8.53442,"Entire home/apt",120,261,"TotalCrime",221,33665,0.00656468141987227,1731
1556931,"Entire flat-Affordable&awesom views","Kreis 12","Hirzenbach",47.40245,8.58832,"Entire home/apt",225,261,"TotalCrime",114,31402,0.00363034201643207,1254
1560875,"central apartment in Zürich","Kreis 7","Hottingen",47.3647,8.5552,"Entire home/apt",70,261,"TotalCrime",184,37662,0.00488556104296107,1992
1566319,"Big terrace apartment close to Tiefenbrunen","Kreis 8","Weinegg",47.35242,8.57012,"Entire home/apt",300,261,"TotalCrime",107,17152,0.00623833955223881,2237
1599790,"room in a penthouse in Zurich","Kreis 11","Oerlikon",47.40782,8.55461,"Private room",95,261,"TotalCrime",400,73223,0.00546276443194078,1540
1637876,"Spacious room near center and university","Kreis 6","Oberstrass",47.38302,8.54983,"Private room",75,261,"TotalCrime",221,33665,0.00656468141987227,1731
1638930,"Private room in center of Zurich","Kreis 5","Gewerbeschule",47.38435,8.53154,"Private room",90,261,"TotalCrime",194,15331,0.012654099536886,1801
1730300,"LOVELY HOME","Kreis 2","Enge",47.36538,8.52406,"Private room",55,261,"TotalCrime",251,35494,0.00707161773820927,1803
1812239,"Room close to opera & lake","Kreis 8","Mühlebach",47.36463,8.54884,"Private room",89,261,"TotalCrime",107,17152,0.00623833955223881,2237
1834747,"Bedroom with double bed available","Kreis 1","Lindenhof",47.37416,8.53903,"Private room",100,261,"TotalCrime",153,5411,0.0282757346146738,2317
1859135,"Wohnung in bester Lage Zürich","Kreis 7","Fluntern",47.37969,8.55919,"Entire home/apt",94,261,"TotalCrime",184,37662,0.00488556104296107,1992
1876794,"Modern sunny Appartment","Kreis 7","Hottingen",47.36724,8.55179,"Entire home/apt",99,261,"TotalCrime",184,37662,0.00488556104296107,1992
1880893,"Sunny modern penthouse close to Bellevue/Lake","Kreis 7","Hottingen",47.3681,8.55116,"Entire home/apt",103,261,"TotalCrime",184,37662,0.00488556104296107,1992
1888122,"Cozy Studio in Zürich-City!","Kreis 8","Mühlebach",47.36401,8.55047,"Entire home/apt",54,261,"TotalCrime",107,17152,0.00623833955223881,2237
1942078,"Centrally located city apartment","Kreis 1","Lindenhof",47.37398,8.53975,"Entire home/apt",293,261,"TotalCrime",153,5411,0.0282757346146738,2317
1962016,"A spacious space","Kreis 9","Albisrieden",47.38015,8.49808,"Private room",130,261,"TotalCrime",350,55824,0.00626970478647177,1569
1982405,"studio / home office  in a trendy quarter","Kreis 10","Wipkingen",47.39408,8.53195,"Entire home/apt",80,261,"TotalCrime",180,39719,0.00453183614894635,1614
1983843,"Wohnen im Seefeld","Kreis 8","Seefeld",47.35715,8.554,"Entire home/apt",100,261,"TotalCrime",107,17152,0.00623833955223881,2237
2004128,"Super central & cozy (+ family-friendly)!","Kreis 4","Werd",47.37015,8.52678,"Entire home/apt",165,261,"TotalCrime",303,27765,0.010913019989195,1656
2019124,"New Modern Apartment, Great Area!","Kreis 5","Escher Wyss",47.3868,8.51292,"Entire home/apt",161,261,"TotalCrime",194,15331,0.012654099536886,1801
2021797,"Roomy well-lit Private room Heart of Zurich","Kreis 2","Enge",47.36288,8.52304,"Private room",65,261,"TotalCrime",251,35494,0.00707161773820927,1803
2045519,"Groundfloor Room i/Family Home Hottingen, Kreis 7","Kreis 7","Hottingen",47.36644,8.56301,"Private room",54,261,"TotalCrime",184,37662,0.00488556104296107,1992
2049847,"Balcony Room in FamilyHome Hottingen, Kreis 7","Kreis 7","Hottingen",47.36644,8.56301,"Private room",51,261,"TotalCrime",184,37662,0.00488556104296107,1992
2055920,"Modern 5.5 Meter Celings City Center Flat!","Kreis 4","Langstrasse",47.38015,8.52768,"Entire home/apt",417,261,"TotalCrime",303,27765,0.010913019989195,1656
2073042,"Bedroom i/Family Home ZüriHottingen","Kreis 7","Hottingen",47.36589,8.56362,"Private room",51,261,"TotalCrime",184,37662,0.00488556104296107,1992
2082084,"Basic Well-lit Private Room Heart of Zurich","Kreis 3","Alt-Wiedikon",47.36407,8.52113,"Private room",60,261,"TotalCrime",304,48865,0.00622122173334698,1564
2153011,"cosy room in fully refurbished flat","Kreis 4","Werd",47.37137,8.52822,"Private room",65,261,"TotalCrime",303,27765,0.010913019989195,1656
2268476,"Central Studio+balcony, lake 10 min","Kreis 7","Hottingen",47.3673,8.55255,"Entire home/apt",84,261,"TotalCrime",184,37662,0.00488556104296107,1992
2470664,"Old-town, cozy 2 rooms flat, fully furnished","Kreis 1","Rathaus",47.37315,8.5458,"Entire home/apt",108,261,"TotalCrime",153,5411,0.0282757346146738,2317
2529375,"Very cozy 3.5 room apartment in Zurich-Wipkingen","Kreis 10","Wipkingen",47.39516,8.51727,"Entire home/apt",120,261,"TotalCrime",180,39719,0.00453183614894635,1614
2579889,"Mi Casa es su Casa","Kreis 3","Alt-Wiedikon",47.36347,8.51749,"Entire home/apt",151,261,"TotalCrime",304,48865,0.00622122173334698,1564
2668952,"Studio with spectacular views !","Kreis 1","Rathaus",47.37475,8.54413,"Entire home/apt",128,261,"TotalCrime",153,5411,0.0282757346146738,2317
2679799,"Discover Zürich & relax comfortably","Kreis 2","Wollishofen",47.33763,8.53492,"Private room",85,261,"TotalCrime",251,35494,0.00707161773820927,1803
2741410,"Lovely and bright room in Kreis 7.","Kreis 7","Hirslanden",47.362209,8.561128,"Private room",85,261,"TotalCrime",184,37662,0.00488556104296107,1992
2743999,"Lakeside Duplex with Stunning Views","Kreis 2","Wollishofen",47.3409,8.53246,"Entire home/apt",200,261,"TotalCrime",251,35494,0.00707161773820927,1803
2759581,"Old-town 2 room flat with river view","Kreis 1","Rathaus",47.37396,8.54291,"Entire home/apt",100,261,"TotalCrime",153,5411,0.0282757346146738,2317
2785626,"Panoramic View of Zurich with 30sqm Terrace","Kreis 5","Escher Wyss",47.39019,8.52018,"Entire home/apt",105,261,"TotalCrime",194,15331,0.012654099536886,1801
2852452,"Centrally located 4-room apartment – a real gem!","Kreis 6","Oberstrass",47.37738,8.54754,"Entire home/apt",136,261,"TotalCrime",221,33665,0.00656468141987227,1731
2869056,"Letzigrund Jade Apartment","Kreis 9","Altstetten",47.38644,8.50317,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
2869081,"Letzigrund Magenta Apartment","Kreis 9","Altstetten",47.38644,8.50317,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
2869105,"Letzigrund Maroon Apartment","Kreis 9","Altstetten",47.38644,8.50317,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
2869130,"Letzigrund Khaki Apartment","Kreis 9","Altstetten",47.38644,8.50317,"Entire home/apt",575,261,"TotalCrime",350,55824,0.00626970478647177,1569
2920505,"N1 Apartment in the heart of Zurich","Kreis 1","Rathaus",47.37505,8.54372,"Entire home/apt",575,261,"TotalCrime",153,5411,0.0282757346146738,2317
2920543,"N2 - Apartment in the Old Town","Kreis 1","Rathaus",47.37505,8.54372,"Entire home/apt",575,261,"TotalCrime",153,5411,0.0282757346146738,2317
2920590,"ZH Seefeld-Kreuzstrasse - HITrental Apartment Züri","Kreis 8","Seefeld",47.36243,8.54878,"Entire home/apt",575,261,"TotalCrime",107,17152,0.00623833955223881,2237
2920698,"3 room apartment in a historic town - S3","Kreis 1","Rathaus",47.37468,8.54342,"Entire home/apt",575,261,"TotalCrime",153,5411,0.0282757346146738,2317
2920742,"S1 - Charming 1 room apartment","Kreis 1","Rathaus",47.37468,8.54342,"Entire home/apt",575,261,"TotalCrime",153,5411,0.0282757346146738,2317
